PERIODO,VALOR,TIPO DATO,NOTA
2023M02,143.413,Provisional,
2023M01,142.654,Provisional,
2022M12,143.854,Provisional,
2022M11,147.673,Provisional,
2022M10,149.730,Provisional,
2022M09,143.222,Provisional,
2022M08,145.287,Provisional,
2022M07,146.445,Provisional,
2022M06,147.539,Provisional,
2022M05,149.261,Provisional,
2022M04,142.253,Provisional,
2022M03,145.715,Provisional,
2022M02,141.749,Definitivo,
2022M01,140.892,Definitivo,
2021M12,144.498,Definitivo,
